#options: 140x140 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=4 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=250 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:31.55 aq:31.07 tex:26512 mv:2941 misc:99 imb:81 pmb:0 smb:0 d:- ref:;
in:5 out:1 type:P dur:2 cpbdur:2 q:31.84 aq:32.19 tex:18326 mv:884 misc:110 imb:11 pmb:69 smb:1 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:31.84 aq:34.65 tex:7367 mv:834 misc:167 imb:3 pmb:63 smb:15 d:t ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:31.84 aq:36.65 tex:2135 mv:579 misc:158 imb:0 pmb:76 smb:5 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:31.84 aq:35.74 tex:3259 mv:807 misc:166 imb:0 pmb:66 smb:15 d:- ref:0 ;
in:4 out:5 type:b dur:2 cpbdur:2 q:31.84 aq:36.00 tex:1733 mv:483 misc:176 imb:0 pmb:58 smb:23 d:- ref:0 ;
in:7 out:6 type:P dur:2 cpbdur:2 q:35.84 aq:36.58 tex:6642 mv:681 misc:133 imb:0 pmb:80 smb:1 d:s ref:0 ;
in:6 out:7 type:b dur:2 cpbdur:2 q:33.84 aq:38.56 tex:1436 mv:633 misc:179 imb:0 pmb:55 smb:26 d:s ref:0 ;
in:9 out:8 type:P dur:2 cpbdur:2 q:35.13 aq:35.10 tex:12194 mv:834 misc:124 imb:6 pmb:75 smb:0 d:s ref:0 ;
in:8 out:9 type:b dur:2 cpbdur:2 q:35.48 aq:39.72 tex:1716 mv:861 misc:183 imb:0 pmb:57 smb:24 d:t ref:0 ;
in:12 out:10 type:P dur:2 cpbdur:2 q:34.09 aq:34.09 tex:12409 mv:793 misc:110 imb:6 pmb:75 smb:0 d:s ref:0 ;
in:10 out:11 type:B dur:2 cpbdur:2 q:34.78 aq:38.98 tex:626 mv:534 misc:200 imb:0 pmb:49 smb:32 d:s ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:34.44 aq:39.00 tex:1575 mv:660 misc:189 imb:0 pmb:52 smb:29 d:- ref:0 ;
in:14 out:13 type:P dur:2 cpbdur:2 q:33.54 aq:33.64 tex:11031 mv:733 misc:124 imb:2 pmb:79 smb:0 d:s ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:33.81 aq:39.00 tex:904 mv:498 misc:182 imb:0 pmb:40 smb:41 d:s ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:33.45 aq:33.43 tex:10088 mv:624 misc:112 imb:0 pmb:81 smb:0 d:s ref:0 ;
in:18 out:16 type:P dur:2 cpbdur:2 q:33.08 aq:33.00 tex:15653 mv:891 misc:120 imb:6 pmb:75 smb:0 d:s ref:0 ;
in:16 out:17 type:B dur:2 cpbdur:2 q:33.33 aq:36.47 tex:4293 mv:1093 misc:174 imb:0 pmb:74 smb:7 d:s ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:33.20 aq:37.85 tex:841 mv:510 misc:185 imb:0 pmb:53 smb:28 d:- ref:0 ;
in:21 out:19 type:P dur:2 cpbdur:2 q:33.03 aq:33.60 tex:13091 mv:796 misc:113 imb:6 pmb:75 smb:0 d:s ref:0 ;
in:19 out:20 type:B dur:2 cpbdur:2 q:33.06 aq:37.00 tex:2521 mv:835 misc:172 imb:0 pmb:67 smb:14 d:t ref:0 ;
in:20 out:21 type:b dur:2 cpbdur:2 q:33.05 aq:37.88 tex:1770 mv:631 misc:175 imb:0 pmb:60 smb:21 d:- ref:0 ;
in:23 out:22 type:P dur:2 cpbdur:2 q:32.92 aq:33.17 tex:13904 mv:825 misc:119 imb:7 pmb:74 smb:0 d:s ref:0 ;
