#options: 638x478 fps=100/3 timebase=3/100 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=9 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=3000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:22.98 aq:23.02 tex:782266 mv:38455 misc:63 imb:1200 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:23.95 aq:24.88 tex:405984 mv:6805 misc:1299 imb:210 pmb:879 smb:111 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:24.21 aq:24.52 tex:532661 mv:9069 misc:1286 imb:327 pmb:839 smb:34 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:24.57 aq:24.72 tex:384582 mv:6111 misc:1299 imb:191 pmb:953 smb:56 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:24.80 aq:25.13 tex:355761 mv:6122 misc:1293 imb:181 pmb:964 smb:55 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:24.99 aq:25.18 tex:346561 mv:6078 misc:1289 imb:249 pmb:918 smb:33 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:25.15 aq:25.47 tex:374588 mv:6988 misc:1296 imb:318 pmb:790 smb:92 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:25.37 aq:26.01 tex:320224 mv:5660 misc:1300 imb:122 pmb:994 smb:84 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:25.53 aq:25.84 tex:330638 mv:5923 misc:1295 imb:215 pmb:933 smb:52 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:33.53 aq:34.58 tex:119543 mv:4280 misc:1361 imb:104 pmb:784 smb:312 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:39.92 aq:41.80 tex:48304 mv:2817 misc:1247 imb:91 pmb:539 smb:570 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:40.81 aq:42.90 tex:46645 mv:3294 misc:1261 imb:112 pmb:514 smb:574 d:- ref:0 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:40.78 aq:41.95 tex:55194 mv:4018 misc:1284 imb:178 pmb:538 smb:484 d:- ref:0 ;
